Group,Total,0001-mifish,0002-mifish,0003-mifish,0004-mifish,0005-mifish,0006-mifish,0007-mifish,0008-mifish,0009-mifish,0010-mifish,0011-mifish,0012-mifish,0013-mifish,0014-mifish,0015-mifish,0016-mifish,0017-mifish,0018-mifish,12s-allalberta,12s-blindspot,12s-lowrelat,12s-mix,12s-richlowevenlow,12s-richlowevenplus,12s-richplusevenlow,12s-richplusevenplus
Acipenseridae,7739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,5364,1102,0,0,0,0
Anguillidae,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,5358,1100,0,0,0,0
Catostomidae,107560,4529,4516,2929,4482,2102,4496,3578,5884,5000,8369,2583,1175,5161,4758,2813,4265,1269,11417,7658,5357,5359,6596,0,0,752,2512
Centrarchidae,13607,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,1,1,3831,0,5362,4405,0,0,0,0
Cottidae,9990,0,0,0,491,0,0,0,0,0,0,512,0,0,5,1,1219,1,0,1278,5378,0,1105,0,0,0,0
Cyprinidae,297369,21044,7002,21181,2864,16676,6255,4911,21278,22825,13640,21167,9542,9535,3198,11123,9782,6680,31570,17851,10719,5354,15397,0,0,2759,5016
Esocidae,26693,1,1,0,937,0,4006,552,0,2810,1407,1257,347,557,2544,0,1868,85,2586,1277,0,5356,1102,0,0,0,0
Fish,69630,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,7654,10711,10719,10951,7025,10022,7520,5020
Gasterosteidae,30573,0,1,3,5,0,0,0,1,4,1,2,7,0,0,0,0,4,4,3829,5357,0,3304,6522,5014,4010,2505
Hiodontidae,10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,0,5357,2199,0,0,0,0
Ictaluridae,7734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,5358,1100,0,0,0,0
Leuciscidae,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1277,0,0,1101,0,0,0,0
Lotidae,39777,0,1460,0,992,45,0,243,0,0,723,129,453,58,0,0,718,230,2324,1274,5357,5356,1100,7523,5012,4270,2510
Mammal,279,0,1,10,1,0,0,0,0,12,6,8,0,75,148,10,6,2,0,0,0,0,0,0,0,0,0
Nemacheilidae,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0
Percidae,62122,0,1,1,528,0,0,224,2419,92,2336,1247,1,463,2195,1834,3941,197,863,6380,10718,5358,5502,2510,5019,5273,5020
Percopsidae,42207,0,275,0,152,1,3721,2561,275,6368,4147,1124,730,765,3441,876,1343,320,1,1276,5362,5358,1099,0,0,503,2509
Salmonidae,174111,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,21691,32122,5354,18691,29599,25077,23317,17571
