database,Class,n,Abundance
12S barque,Actinopteri,2480,0.887298747763864
12S barque,Amphibia,18,0.00644007155635063
12S barque,Aves,22,0.00787119856887299
12S barque,Chondrichthyes,140,0.0500894454382826
12S barque,Cladistia,11,0.00393559928443649
12S barque,Coelacanthimorpha,2,0.000715563506261181
12S barque,Dipnoi,5,0.00178890876565295
12S barque,Hyperoartia,11,0.00393559928443649
12S barque,Mammalia,96,0.0343470483005367
12S barque,Myxini,2,0.000715563506261181
12S barque,Reptilia,8,0.00286225402504472
COI barque,Actinopteri,142331,0.0793733381515784
COI barque,Amphibia,11497,0.00641150043721113
COI barque,Appendicularia,2,1.11533451112658e-06
COI barque,Ascidiacea,3588,0.00200091011296108
COI barque,Aves,27469,0.015318561843068
COI barque,Chondrichthyes,9677,0.00539654603208594
COI barque,Cladistia,84,4.68440494673162e-05
COI barque,Coelacanthimorpha,4,2.23066902225315e-06
COI barque,Dipnoi,57,3.17870335671074e-05
COI barque,Hyperoartia,321,0.000179011189035816
COI barque,Leptocardii,200,0.000111533451112658
COI barque,Mammalia,36136,0.020151863947035
COI barque,Myxini,119,6.63624034120313e-05
COI barque,Non-Chordata,1544392,0.861256848153898
COI barque,Reptilia,12451,0.00694351499901851
COI barque,Thaliacea,45,2.5095026500348e-05
COI barque,Unavailable Class of chordate,4811,0.00268293716651498
COI RDP,Actinopteri,201382,0.0908539273022408
COI RDP,Amphibia,21884,0.00987301419730779
COI RDP,Appendicularia,2,9.02304349964156e-07
COI RDP,Ascidiacea,4645,0.00209560185279175
COI RDP,Aves,29267,0.0132038707052005
COI RDP,Chondrichthyes,14865,0.00670637708110859
COI RDP,Cladistia,86,3.87990870484587e-05
COI RDP,Dipnoi,133,6.00032392726164e-05
COI RDP,Hyperoartia,536,0.000241817565790394
COI RDP,Leptocardii,343,0.000154745196018853
COI RDP,Mammalia,45587,0.020566674200908
COI RDP,Myxini,213,9.60954132711826e-05
COI RDP,Non-Chordata,1880717,0.848489565075769
COI RDP,Reptilia,16800,0.00757935653969891
COI RDP,Thaliacea,87,3.92502392234408e-05
12S RDP,Actinopteri,2659,0.932001402032948
12S RDP,Chondrichthyes,163,0.0571328426218016
12S RDP,Cladistia,11,0.00385559060637925
12S RDP,Coelacanthimorpha,2,0.000701016473887136
12S RDP,Dipnoi,5,0.00175254118471784
12S RDP,Hyperoartia,11,0.00385559060637925
12S RDP,Myxini,2,0.000701016473887136
